source,target,capacity
Node_0,Node_1,4.8782
Node_0,Node_2,6.5235
Node_0,Node_3,3.1948
Node_0,Node_4,2.0155
Node_0,Node_5,0.7559
Node_0,Node_6,0.2119
Node_0,Node_7,10.4976
Node_0,Node_9,0.9216
Node_0,Node_10,0.7951
Node_0,Node_11,5.8105
Node_0,Node_12,1.0106
Node_0,Node_13,0.9545
Node_0,Node_14,7.1568
Node_0,Node_15,2.3733
Node_0,Node_18,2.0442
Node_0,Node_22,0.6591
Node_0,Node_24,9.1693
Node_0,Node_26,0.7132
Node_0,Node_27,8.8341
Node_0,Node_32,3.9988
Node_0,Node_36,2.8463
Node_0,Node_37,0.4958
Node_0,Node_38,3.9848
Node_0,Node_41,9.1317
Node_0,Node_42,5.0129
Node_0,Node_71,0.9028
Node_0,Node_73,0.6535
Node_0,Node_78,5.4954
Node_0,Node_87,1.6913
Node_0,Node_93,2.3779
Node_0,Node_109,1.8125
Node_0,Node_142,5.0932
Node_0,Node_179,9.8036
Node_0,Node_190,5.4293
Node_0,Node_200,3.5986
Node_0,Node_231,5.1977
Node_0,Node_234,0.3166
Node_0,Node_258,1.2562
Node_0,Node_290,13.1789
Node_0,Node_303,0.9016
Node_0,Node_321,6.2202
Node_0,Node_337,0.9524
Node_0,Node_345,1.0586
Node_0,Node_361,0.1739
Node_0,Node_370,1.2629
Node_0,Node_373,0.6404
Node_0,Node_381,0.393
Node_0,Node_382,4.3185
Node_0,Node_406,1.5046
Node_0,Node_410,11.9679
Node_0,Node_426,10.415
Node_0,Node_433,0.5886
Node_0,Node_493,1.3609
Node_0,Node_509,0.1812
Node_0,Node_520,1.2353
Node_0,Node_583,1.56
Node_0,Node_597,6.2247
Node_0,Node_603,1.8373
Node_0,Node_615,3.9391
Node_0,Node_795,1.0551
Node_0,Node_817,2.1309
Node_0,Node_876,13.7803
Node_0,Node_946,7.5534
Node_0,Node_981,3.6951
Node_0,Node_985,1.3375
Node_1,Node_6,0.1598
Node_1,Node_11,1.1331
Node_1,Node_22,0.1426
Node_1,Node_36,0.3433
Node_1,Node_47,0.0918
Node_1,Node_55,3.7051
Node_1,Node_56,4.2957
Node_1,Node_81,6.5062
Node_1,Node_91,0.7791
Node_1,Node_94,1.745
Node_1,Node_100,14.0654
Node_1,Node_107,6.7438
Node_1,Node_190,4.2834
Node_1,Node_194,0.8938
Node_1,Node_199,4.504
Node_1,Node_207,1.6036
Node_1,Node_222,0.1628
Node_1,Node_314,9.0145
Node_1,Node_367,0.0286
Node_1,Node_446,2.4294
Node_1,Node_483,1.4
Node_1,Node_552,10.62
Node_1,Node_648,2.3362
Node_1,Node_665,3.1527
Node_1,Node_833,0.936
Node_1,Node_900,1.717
Node_1,Node_935,3.2808
Node_1,Node_978,1.2952
Node_2,Node_6,1.3766
Node_2,Node_7,1.6479
Node_2,Node_8,3.2006
Node_2,Node_21,0.9324
Node_2,Node_22,0.8902
Node_2,Node_32,0.2145
Node_2,Node_51,1.427
Node_2,Node_71,5.7417
Node_2,Node_76,1.342
Node_2,Node_94,0.4394
Node_2,Node_130,1.3449
Node_2,Node_143,3.7251
Node_2,Node_181,7.6814
Node_2,Node_187,1.2379
Node_2,Node_190,4.8999
Node_2,Node_260,3.1025
Node_2,Node_331,1.5487
Node_2,Node_365,0.0774
Node_2,Node_418,0.6167
Node_2,Node_439,12.0796
Node_2,Node_475,0.01
Node_2,Node_486,1.7741
Node_2,Node_647,13.9578
Node_2,Node_784,2.4497
Node_2,Node_799,0.4898
Node_2,Node_868,3.3395
Node_3,Node_6,0.4029
Node_3,Node_7,3.3657
Node_3,Node_8,0.0748
Node_3,Node_10,2.1037
Node_3,Node_12,0.198
Node_3,Node_13,2.8256
Node_3,Node_40,0.8321
Node_3,Node_58,3.3059
Node_3,Node_59,0.3945
Node_3,Node_76,0.0141
Node_3,Node_95,2.0584
Node_3,Node_127,1.4523
Node_3,Node_159,7.3461
Node_3,Node_173,5.5774
Node_3,Node_186,0.819
Node_3,Node_187,3.6762
Node_3,Node_194,0.7732
Node_3,Node_216,1.2563
Node_3,Node_233,5.473
Node_3,Node_283,0.4867
Node_3,Node_288,9.9648
Node_3,Node_327,0.03
Node_3,Node_400,7.6536
Node_3,Node_465,0.406
Node_3,Node_511,13.0792
Node_3,Node_514,2.9397
Node_3,Node_528,1.3703
Node_3,Node_548,6.7922
Node_3,Node_557,0.987
Node_3,Node_596,4.7102
Node_3,Node_605,2.3529
Node_3,Node_610,1.8154
Node_3,Node_615,10.7051
Node_3,Node_623,9.4106
